iter	sc_Vmax(1)	Km(1)	LnPrior	LnData	LnPosterior
1145	0.11133	108.236	-6.362311e+00	-1.473067e+03	-1.479429e+03
1150	0.111974	113.898	-6.439434e+00	-1.475347e+03	-1.481787e+03
1155	0.115117	114.828	-6.483570e+00	-1.474457e+03	-1.480941e+03
1160	0.115117	109.583	-6.419017e+00	-1.473299e+03	-1.479718e+03
1165	0.115162	109.583	-6.419479e+00	-1.473307e+03	-1.479727e+03
1170	0.115162	109.583	-6.419479e+00	-1.473307e+03	-1.479727e+03
1175	0.114783	112.122	-6.447138e+00	-1.473608e+03	-1.480055e+03
1180	0.114783	107.342	-6.387164e+00	-1.473452e+03	-1.479839e+03
1185	0.110064	107.342	-6.337390e+00	-1.472995e+03	-1.479333e+03
1190	0.110064	107.342	-6.337390e+00	-1.472995e+03	-1.479333e+03
1195	0.110064	104.969	-6.306760e+00	-1.472601e+03	-1.478908e+03
1200	0.10566	102.048	-6.220122e+00	-1.472163e+03	-1.478383e+03
1205	0.10566	98.7306	-6.175179e+00	-1.472013e+03	-1.478188e+03
1210	0.104469	98.7306	-6.161876e+00	-1.471737e+03	-1.477899e+03
1215	0.104469	98.7306	-6.161876e+00	-1.471737e+03	-1.477899e+03
1220	0.102592	98.7306	-6.140666e+00	-1.471646e+03	-1.477786e+03
1225	0.102592	96.1072	-6.104199e+00	-1.471463e+03	-1.477567e+03
1230	0.096219	94.7345	-6.010224e+00	-1.471584e+03	-1.477594e+03
1235	0.0976526	94.7345	-6.027345e+00	-1.471148e+03	-1.477176e+03
1240	0.0976526	88.8242	-5.940843e+00	-1.471178e+03	-1.477119e+03
1245	0.095698	88.8242	-5.917446e+00	-1.470284e+03	-1.476202e+03
1250	0.0944131	88.8242	-5.901846e+00	-1.469995e+03	-1.475897e+03
1255	0.0965732	89.0387	-5.931196e+00	-1.470563e+03	-1.476494e+03
1260	0.0935737	89.0387	-5.894783e+00	-1.469977e+03	-1.475872e+03
1265	0.0935737	90.8951	-5.922415e+00	-1.470585e+03	-1.476507e+03
1270	0.097895	90.8951	-5.974575e+00	-1.470706e+03	-1.476680e+03
1275	0.097895	94.681	-6.029458e+00	-1.471083e+03	-1.477112e+03
1280	0.097895	94.681	-6.029458e+00	-1.471083e+03	-1.477112e+03
1285	0.0998541	95.1353	-6.058930e+00	-1.471051e+03	-1.477110e+03
1290	0.0992013	95.1353	-6.051304e+00	-1.471058e+03	-1.477110e+03
1295	0.0968214	93.437	-5.998860e+00	-1.470853e+03	-1.476851e+03
1300	0.0968214	93.437	-5.998860e+00	-1.470853e+03	-1.476851e+03
1305	0.0979961	93.437	-6.012833e+00	-1.470761e+03	-1.476774e+03
1310	0.0963824	93.7215	-5.997695e+00	-1.471048e+03	-1.477046e+03
1315	0.0975958	93.7215	-6.012181e+00	-1.470840e+03	-1.476853e+03
